iter	Passed	Remaining
0	86	171811	150	14892	2	251	16543	3	268	13144	4	383	14955	5	470	1526	46	494	1367	57	550	1328	58	601	12772
9	670	12745
10	721	12395
11	782	12264
12	957	13775
13	976	12974
14	1008	12443
15	1023	11765
16	1036	117	1017	1222	12365
18	1241	11822
19	1436	12932
20	1470	12531
21	1480	11975
22	1493	11489
23	1600	11737
24	1614	11299
25	1685	11277
26	1699	10891
27	1719	10564
28	1774	10465
29	1866	10574
30	1907	10399
31	1934	10158
32	1973	9988
33	2011	9820
34	2038	9611
35	2061	9389
36	2074	9139
37	2155	9190
38	2189	9037
39	2220	8883
40	2295	8901
41	2328	8759
42	2356	8604
43	2367	8392
45	2427	8125
45	2453	8214
46	2478	8069
48	2526	7787
49	2580	7740
49	2626	7879
50	2641	7716
51	2666	7589
53	2729	7380
53	2763	7473
54	2796	7372
55	2844	7314
56	2886	7242
57	2911	7127
58	2959	7073
59	2979	6951
60	3005	6848
62	3024	6576
63	3073	6531
64	3098	6434
65	3153	6401
66	3193	6339
67	3210	6231
68	3247	6166
69	3298	6125
70	3317	6028
71	3350	5956
72	3381	5883
73	3447	5870
74	3472	5788
75	3526	5753
76	3572	5707
77	3598	5628
78	3624	5550
79	3675	5513
80	3718	5463
81	3756	5406
82	3795	5350
83	3834	5294
84	3899	5275
85	3930	5209
86	3952	5133
87	3982	5068
88	4012	5003
89	4064	4968
90	4080	4888
91	4105	4819
92	4143	4767
93	4199	4735
94	4237	4683
95	4275	4631
96	4329	4596
97	4375	4553
98	4420	4509
99	4457	4457
100	4511	4422
101	4549	4370
102	4584	4317
103	4605	4251
104	4634	4192
105	4700	4168
106	4719	4101
107	4775	4067
108	4823	4026
109	4840	3960
110	4897	3926
111	4949	3889
112	4990	3842
113	5023	3789
114	5073	3749
115	5111	3701
116	5137	3644
117	5169	3592
118	5188	3531
119	5203	3468
120	5237	3419
121	5256	3360
122	5269	3298
123	5287	3240
124	5309	3185
125	5334	3132
126	5348	3074
127	5364	3017
128	5382	2962
129	5396	2905
130	5413	2851
131	5430	2797
132	5446	2743
133	5461	2689
134	5475	2636
135	5486	2581
136	5497	2528
137	5507	2474
138	5520	2422
139	5533	2371
140	5547	2321
141	5562	2271
142	5573	2221
143	5587	2172
144	5600	2124
145	5612	2075
146	5625	2028
147	5638	1981
148	5649	1933
149	5665	1888
150	5679	1843
151	5693	1797
152	5706	1752
153	5718	1708
154	5736	1665
155	5749	1621
156	5762	1578
157	5777	1535
158	5791	1493
159	5808	1452
160	5822	1410
161	5837	1369
162	5853	1328
163	5865	1287
164	5881	1247
165	5896	1207
166	5909	1167
167	5924	1128
168	5939	1089
169	5951	1050
170	5965	1011
171	5978	973
172	5988	934
173	6002	896
174	6016	859
175	6028	822
176	6044	785
177	6061	749
178	6075	712
179	6089	676
180	6102	640
181	6113	604
182	6122	568
183	6129	533
184	6135	497
185	6140	462
186	6145	427
187	6149	392
188	6153	358
189	6157	324
190	6162	290
191	6166	256
192	6170	223
193	6175	190
194	6179	158
195	6184	126
196	6188	94
197	6192	62
198	6196	31
199	6201	0

199	6159	0
